L 316.2531, -2506.4915, 14.5817,  365.0456, -2456.1062, 14.5805,  240, 240, 240
L -591.0958, -2012.1740, -11.4939,  -533.1049, -2008.9669, -11.4932,  240, 240, 240
L 486.9889, -2783.8418, -11.4994,  466.5989, -2805.1895, -11.4989,  240, 240, 240
L 504.8033, -2654.7673, -11.5022,  466.1733, -2654.4722, -11.5017,  240, 240, 240
L 504.8033, -2654.7673, -33.9195,  486.9889, -2783.8418, -33.8672,  240, 240, 240
L 1043.1527, -1135.1599, -63.2732,  1031.9232, -1125.9661, -63.2802,  64, 64, 64
L 1043.7148, -1134.9056, -63.2802,  1043.1527, -1135.1599, -63.2732,  64, 64, 64
L 1044.4919, -1134.3870, -63.2802,  1043.7148, -1134.9056, -63.2802,  64, 64, 64
L 1043.7418, -1133.2803, -63.2802,  1044.4919, -1134.3870, -63.2802,  64, 64, 64
L 1043.6876, -1134.9388, -63.2802,  1043.6876, -1134.9388, -63.2802,  64, 64, 64
L 1031.3966, -1123.2561, -63.2802,  1043.7452, -1133.3176, -63.2802,  64, 64, 64
L 1029.5103, -1125.4313, -63.2802,  1031.3966, -1123.2561, -63.2802,  64, 64, 64
L 1015.5982, -1126.7571, -63.2802,  1029.5103, -1125.4313, -63.2802,  64, 64, 64
L 1005.1716, -1117.3237, -63.2802,  1015.5982, -1126.7571, -63.2802,  64, 64, 64
L 1004.0170, -1104.1716, -63.2802,  1005.1716, -1117.3237, -63.2802,  64, 64, 64
L 1012.6859, -1093.5953, -63.2802,  1004.0170, -1104.1716, -63.2802,  64, 64, 64
L 1026.3945, -1092.1956, -63.2802,  1012.6859, -1093.5953, -63.2802,  64, 64, 64
L 1037.1207, -1101.0332, -63.2802,  1026.3945, -1092.1956, -63.2802,  64, 64, 64
L 1037.2566, -1101.7889, -63.2802,  1037.1207, -1101.0332, -63.2802,  64, 64, 64
L 1038.4159, -1114.2048, -63.2802,  1037.2566, -1101.7889, -63.2802,  64, 64, 64
L 1037.0065, -1115.6624, -63.2802,  1038.4159, -1114.2048, -63.2802,  64, 64, 64
L 1037.2483, -1116.9635, -63.2802,  1037.0065, -1115.6624, -63.2802,  64, 64, 64
L 1049.7247, -1127.3943, -63.2802,  1037.2483, -1116.9635, -63.2802,  64, 64, 64
L 1050.9139, -1126.1132, -63.2802,  1049.7247, -1127.3943, -63.2802,  64, 64, 64
L 1050.8206, -1125.6572, -63.2802,  1050.9139, -1126.1132, -63.2802,  64, 64, 64
L 1039.4171, -1116.3883, -63.2353,  1050.8206, -1125.6572, -63.2802,  64, 64, 64
L 1040.4506, -1115.2843, -63.2802,  1039.4171, -1116.3883, -63.2353,  64, 64, 64
L 1039.0901, -1099.9404, -63.2802,  1040.4506, -1115.2843, -63.2802,  64, 64, 64
L 1027.2567, -1090.0286, -63.2802,  1039.0901, -1099.9404, -63.2802,  64, 64, 64
L 1012.0487, -1091.4658, -63.2802,  1027.2567, -1090.0286, -63.2802,  64, 64, 64
L 1002.1459, -1103.1716, -63.2802,  1012.0487, -1091.4658, -63.2802,  64, 64, 64
L 1002.0162, -1103.6611, -63.2802,  1002.1459, -1103.1716, -63.2802,  64, 64, 64
L 1003.3314, -1118.6133, -63.2802,  1002.0162, -1103.6611, -63.2802,  64, 64, 64
L 1015.5742, -1128.5104, -63.2650,  1003.3314, -1118.6133, -63.2802,  64, 64, 64
L 1030.5334, -1127.0935, -63.2802,  1015.5742, -1128.5104, -63.2650,  64, 64, 64
L 1031.7142, -1125.7688, -63.2180,  1030.5334, -1127.0935, -63.2802,  64, 64, 64
L 1044.5079, -1174.2578, -63.2802,  1044.1129, -1173.2820, -63.2802,  64, 64, 64
L 1043.8331, -1173.1641, -63.2802,  1044.7498, -1174.6498, -63.2802,  64, 64, 64
L 1028.1356, -1179.1027, -63.2802,  1043.8331, -1173.1641, -63.2802,  64, 64, 64
L 1029.2488, -1181.9305, -63.2802,  1028.1356, -1179.1027, -63.2802,  64, 64, 64
L 1023.4672, -1194.5109, -63.2802,  1029.2488, -1181.9305, -63.2802,  64, 64, 64
L 1010.3801, -1199.3630, -63.2802,  1023.4672, -1194.5109, -63.2802,  64, 64, 64
L 998.0145, -1193.5455, -63.2802,  1010.3801, -1199.3630, -63.2802,  64, 64, 64
L 993.2631, -1181.2239, -63.2802,  998.0145, -1193.5455, -63.2802,  64, 64, 64
L 998.7953, -1168.0627, -63.2802,  993.2631, -1181.2239, -63.2802,  64, 64, 64
L 1011.8821, -1162.6431, -63.2802,  998.7953, -1168.0627, -63.2802,  64, 64, 64
L 1023.8772, -1168.6788, -63.2802,  1011.8821, -1162.6431, -63.2802,  64, 64, 64
L 1025.4851, -1171.3466, -63.2802,  1023.8772, -1168.6788, -63.2802,  64, 64, 64
L 1040.6530, -1165.1655, -63.2802,  1025.4851, -1171.3466, -63.2802,  64, 64, 64
L 1040.2695, -1163.5544, -63.2802,  1040.6530, -1165.1655, -63.2802,  64, 64, 64
L 1026.1799, -1168.7805, -63.2505,  1040.2695, -1163.5544, -63.2802,  64, 64, 64
L 1025.6071, -1167.1859, -63.2802,  1026.1799, -1168.7805, -63.2505,  64, 64, 64
L 1011.5865, -1160.9639, -63.2802,  1025.6071, -1167.1859, -63.2802,  64, 64, 64
L 997.1722, -1166.5332, -63.2802,  1011.5865, -1160.9639, -63.2802,  64, 64, 64
L 990.8465, -1180.7538, -63.2802,  997.1722, -1166.5332, -63.2802,  64, 64, 64
L 996.1567, -1194.8213, -63.2802,  990.8465, -1180.7538, -63.2802,  64, 64, 64
L 1010.6260, -1201.2096, -63.2802,  996.1567, -1194.8213, -63.2802,  64, 64, 64
L 1024.8761, -1195.7393, -63.2802,  1010.6260, -1201.2096, -63.2802,  64, 64, 64
L 1031.2897, -1181.7683, -63.2802,  1024.8761, -1195.7393, -63.2802,  64, 64, 64
L 1031.0415, -1181.3429, -63.2800,  1031.2897, -1181.7683, -63.2802,  64, 64, 64
L 1030.5494, -1180.1143, -63.2362,  1031.0415, -1181.3429, -63.2800,  64, 64, 64
L 1044.7498, -1174.6498, -63.2692,  1030.5494, -1180.1143, -63.2362,  64, 64, 64
L 5478.4946, 906.1032, 165.7091,  5478.5620, 896.6212, 165.2300,  64, 64, 64
L 5474.9365, 906.2499, 164.4210,  5478.4946, 906.1032, 165.7091,  64, 64, 64
L 5474.5654, 906.5118, 164.2643,  5474.9365, 906.2499, 164.4210,  64, 64, 64
L 5474.4097, 889.7645, 167.4435,  5474.5654, 906.5118, 164.2643,  64, 64, 64
L 5475.0718, 889.4063, 167.7474,  5474.4097, 889.7645, 167.4435,  64, 64, 64
L 5477.6348, 889.4063, 168.2248,  5475.0718, 889.4063, 167.7474,  64, 64, 64
L 5477.2510, 889.1201, 168.2977,  5477.6348, 889.4063, 168.2248,  64, 64, 64
L 5478.5620, 889.8268, 168.1854,  5477.2510, 889.1201, 168.2977,  64, 64, 64
L 5478.5620, 891.4551, 167.3693,  5478.5620, 889.8268, 168.1854,  64, 64, 64
L 5505.2480, 891.0556, 172.5439,  5478.5620, 891.4551, 167.3693,  64, 64, 64
L 5505.1709, 805.4149, 179.6125,  5505.2480, 891.0556, 172.5439,  64, 64, 64
L 5420.2129, 806.2596, 185.2919,  5505.1709, 805.4149, 179.6125,  64, 64, 64
L 5418.3389, 891.9370, 160.0364,  5420.2129, 806.2596, 185.2919,  64, 64, 64
L 5444.3750, 891.7853, 163.1225,  5418.3389, 891.9370, 160.0364,  64, 64, 64
L 5444.4126, 889.6166, 164.1061,  5444.3750, 891.7853, 163.1225,  64, 64, 64
L 5444.7080, 889.4066, 164.2551,  5444.4126, 889.6166, 164.1061,  64, 64, 64
L 5449.2725, 889.4026, 164.7423,  5444.7080, 889.4066, 164.2551,  64, 64, 64
L 5449.6650, 889.5507, 164.7011,  5449.2725, 889.4026, 164.7423,  64, 64, 64
L 5449.6763, 905.9642, 159.2758,  5449.6650, 889.5507, 164.7011,  64, 64, 64
L 5449.5308, 906.1805, 159.2204,  5449.6763, 905.9642, 159.2758,  64, 64, 64
